idempresa,empresa,direccion,localidad,provincia,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,839.0,2024-02-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,839.0,2024-02-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,944.0,2024-04-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,944.0,2024-04-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,982.0,2024-05-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,982.0,2024-05-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1022.0,2024-06-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1022.0,2024-06-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1053.0,2024-07-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1053.0,2024-07-01 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,902.0,2024-03-02 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,902.0,2024-03-02 00:00:00,2,YPF,-33.67954,-65.46988,"{""type"":""Point"",""coordinates"":[-65.46988,-33.67954]}"
